name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%,NCAA_FTA
Ray Allen,allenra02,7429,0.4,0.779,0.448,358
Rafer Alston,alstora01,2815,0.354,0.758,0.337,66
Derek Anderson,anderde01,1891,0.341,0.805,0.364,399
Kenny Anderson,anderke01,1580,0.346,0.787,0.374,333
Nick Anderson,anderni01,2964,0.356,0.657,0.361,268
Shandon Anderson,andersh01,972,0.316,0.634,0.291,484
Greg Anthony,anthogr01,1748,0.349,0.707,0.379,547
BJ Armstrong,armstbj01,1026,0.425,0.831,0.443,485
Chucky Atkins,atkinch01,2565,0.364,0.737,0.362,438
Dana Barros,barroda01,2652,0.411,0.841,0.432,479
Brent Barry,barrybr01,3442,0.405,0.794,0.345,378
Jon Barry,barryjo01,1676,0.392,0.717,0.371,272
Travis Best,besttr01,772,0.345,0.809,0.393,486
Mike Bibby,bibbymi01,3999,0.379,0.73,0.39,270
Chauncey Billups,billuch01,4725,0.387,0.857,0.382,357
Mookie Blaylock,blaylmo01,3816,0.336,0.668,0.379,214
Bruce Bowen,bowenbr01,2082,0.393,0.695,0.283,495
Earl Boykins,boykiea01,1104,0.348,0.803,0.353,638
Terrell Brandon,brandte01,1110,0.355,0.81,0.38,316
Dee Brown,brownde01,1697,0.357,0.763,0.366,320
Matt Bullard,bullama01,1561,0.384,0.768,0.336,306
Scott Burrell,burresc01,909,0.373,0.64,0.357,478
Vince Carter,cartevi01,6168,0.371,0.705,0.368,292
Sam Cassell,cassesa01,2029,0.331,0.734,0.366,304
Cedric Ceballos,cebalce01,760,0.309,0.671,0.305,389
Rex Chapman,chapmre01,2301,0.35,0.771,0.4,170
Chris Childs,childch01,1082,0.344,0.818,0.422,439
Doug Christie,chrisdo01,2272,0.354,0.747,0.297,478
Derrick Coleman,colemde01,1105,0.295,0.684,0.291,858
Bimbo Coles,colesbi01,943,0.267,0.748,0.324,793
Austin Croshere,croshau01,1262,0.34,0.843,0.34,458
Dell Curry,curryde01,3098,0.402,0.785,0.571,437
Antonio Daniels,daniean01,1154,0.311,0.758,0.396,534
Baron Davis,davisba01,4159,0.32,0.631,0.328,268
Hubert Davis,davishu01,1651,0.441,0.819,0.435,371
Ricky Davis,davisri01,1614,0.361,0.698,0.308,129
Todd Day,dayto01,1646,0.345,0.747,0.384,668
Tony Delk,delkto01,1376,0.343,0.709,0.397,340
Howard Eisley,eisleho01,1474,0.35,0.784,0.447,476
Sean Elliott,elliose01,1572,0.375,0.793,0.428,786
LaPhonso Ellis,ellisla01,797,0.302,0.675,0.455,468
Danny Ferry,ferryda01,1724,0.393,0.775,0.388,551
Michael Finley,finlemi01,3880,0.375,0.769,0.338,593
Derek Fisher,fishede01,3341,0.374,0.747,0.38,534
Rick Fox,foxri01,2208,0.349,0.757,0.388,375
Steve Francis,francst01,1684,0.341,0.79,0.388,157
Pat Garrity,garripa01,1587,0.398,0.747,0.358,655
Kendall Gill,gillke01,1051,0.3,0.755,0.374,375
Richard Hamilton,hamilri01,1530,0.346,0.826,0.378,505
Anfernee Hardaway,hardaan01,1591,0.316,0.717,0.346,364
