name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%
Al-Farouq Aminu,aminual01,1597,0.335,0.687,0.238
Ryan Anderson,anderry01,3491,0.38,0.841,0.396
Carmelo Anthony,anthoca01,4151,0.349,0.706,0.337
Trevor Ariza,arizatr01,4362,0.352,0.504,0.237
DJ Augustin,augusdj01,2930,0.379,0.808,0.402
Lonzo Ball,balllo01,918,0.341,0.673,0.412
Harrison Barnes,barneha02,2028,0.375,0.734,0.349
Will Barton,bartowi01,1649,0.347,0.733,0.299
Kent Bazemore,bazemke01,1683,0.351,0.581,0.334
Bradley Beal,bealbr01,3268,0.38,0.769,0.339
Malik Beasley,beaslma01,791,0.388,0.813,0.387
Patrick Beverley,beverpa01,1820,0.381,0.73,0.382
Eric Bledsoe,bledser01,2027,0.336,0.667,0.383
Devin Booker,bookede01,1890,0.354,0.658,0.275
Avery Bradley,bradlav01,2042,0.364,0.545,0.375
Corey Brewer,breweco01,1774,0.284,0.708,0.356
Malcolm Brogdon,brogdma01,828,0.385,0.876,0.365
Jaylen Brown,brownja02,1055,0.371,0.654,0.294
Reggie Bullock,bullore01,1030,0.385,0.522,0.1
Trey Burke,burketr01,1391,0.345,0.777,0.367
Alec Burks,burksal01,1114,0.364,0.804,0.313
Jimmy Butler,butleji01,1514,0.333,0.773,0.383
Kentavious Caldwell-Pope,caldwke01,2524,0.349,0.752,0.339
DeMarre Carroll,carrode01,1839,0.358,0.603,0.281
Vince Carter,cartevi01,6168,0.371,0.705,0.368
Wilson Chandler,chandwi01,2560,0.341,0.659,0.303
Jordan Clarkson,clarkjo01,1973,0.342,0.805,0.322
Mike Conley,conlemi01,3150,0.375,0.694,0.304
Robert Covington,covinro01,2606,0.356,0.802,0.422
Allen Crabbe,crabbal01,1596,0.387,0.819,0.382
Jamal Crawford,crawfja01,6379,0.348,0.784,0.327
Jae Crowder,crowdja01,2565,0.34,0.683,0.35
Seth Curry,curryse01,1007,0.443,0.827,0.394
Stephen Curry,curryst01,5739,0.435,0.876,0.412
Troy Daniels,danietr01,1404,0.395,0.782,0.386
Anthony Davis,davisan02,794,0.319,0.728,0.311
Matthew Dellavedova,dellama01,1075,0.368,0.86,0.378
DeMar DeRozan,derozde01,1208,0.282,0.646,0.167
Spencer Dinwiddie,dinwisp01,1379,0.318,0.83,0.386
Jared Dudley,dudleja01,2241,0.393,0.731,0.365
Wayne Ellington,ellinwa01,2689,0.378,0.809,0.397
James Ennis,ennisja01,768,0.35,0.788,0.354
Dorian Finney-Smith,finnedo01,815,0.33,0.657,0.362
Bryn Forbes,forbebr01,1075,0.4,0.821,0.435
Langston Galloway,gallola01,1637,0.367,0.821,0.426
Rudy Gay,gayru01,2818,0.347,0.721,0.378
Paul George,georgpa01,4172,0.381,0.803,0.396
Aaron Gordon,gordoaa01,1383,0.319,0.422,0.356
Eric Gordon,gordoer01,4201,0.37,0.834,0.337
Jerami Grant,grantje01,1073,0.347,0.641,0.3
Danny Green,greenda02,3205,0.4,0.845,0.375
Draymond Green,greendr01,1632,0.319,0.687,0.361
Jeff Green,greenje02,2795,0.334,0.7,0.359
Blake Griffin,griffbl01,1223,0.333,0.589,0.3
Tim Hardaway Jr,hardati02,2671,0.353,0.724,0.343
James Harden,hardeja01,6394,0.363,0.755,0.376
Maurice Harkless,harklma01,997,0.325,0.676,0.215
Gary Harris,harriga01,1501,0.36,0.788,0.376
Joe Harris,harrijo01,1459,0.426,0.0,0.375
Tobias Harris,harrito02,2244,0.365,0.753,0.303
Josh Hart,hartjo01,825,0.353,0.72,0.389
Gordon Hayward,haywago01,2327,0.366,0.824,0.369
Buddy Hield,hieldbu01,2126,0.411,0.836,0.39
George Hill,hillge01,2499,0.384,0.785,0.404
Solomon Hill,hillso01,868,0.336,0.745,0.375
Jrue Holiday,holidjr01,2616,0.354,0.726,0.307
Justin Holiday,holidju01,1748,0.36,0.736,0.343
Rodney Hood,hoodro01,1566,0.372,0.773,0.396
Al Horford,horfoal01,1275,0.364,0.619,0.0
Andre Iguodala,iguodan01,3013,0.333,0.738,0.274
Brandon Ingram,ingrabr01,770,0.36,0.682,0.41
Kyrie Irving,irvinky01,2870,0.39,0.901,0.462
Reggie Jackson,jacksre01,1955,0.337,0.753,0.351
James Johnson,johnsja01,1046,0.31,0.792,0.37
Stanley Johnson,johnsst04,832,0.293,0.742,0.371
Tyler Johnson,johnsty01,1072,0.359,,1.0
Cory Joseph,josepco01,883,0.332,0.699,0.413
Frank Kaminsky,kaminfr01,1093,0.347,0.763,0.369
Brandon Knight,knighbr03,2012,0.353,0.795,0.377
Kyle Korver,korveky01,5715,0.429,0.891,0.453
Kyle Kuzma,kuzmaky01,1128,0.331,0.633,0.302
Jeremy Lamb,lambje01,1457,0.339,0.806,0.348
Zach LaVine,lavinza01,1721,0.375,0.691,0.375
Courtney Lee,leeco01,2259,0.388,0.817,0.401
Kawhi Leonard,leonaka01,1997,0.383,0.744,0.25
Meyers Leonard,leoname01,831,0.39,0.729,0.083
Caris LeVert,leverca01,803,0.339,0.77,0.401
Damian Lillard,lillada01,4764,0.373,0.867,0.39
Brook Lopez,lopezbr01,1580,0.341,0.764,0.143
Kevin Love,loveke01,3302,0.37,0.767,0.354
Kyle Lowry,lowryky01,4636,0.366,0.737,0.325
Trey Lyles,lylestr01,918,0.341,0.735,0.138
Lauri Markkanen,markkla01,1050,0.356,0.835,0.423
Wesley Matthews,matthwe02,4367,0.381,0.799,0.341
CJ McCollum,mccolcj01,2563,0.397,0.825,0.377
Doug McDermott,mcderdo01,1224,0.412,0.831,0.458
Ben McLemore,mclembe01,1695,0.366,0.87,0.42
Khris Middleton,middlkh01,2303,0.392,0.768,0.321
Paul Millsap,millspa01,1410,0.343,0.62,0.375
Donovan Mitchell,mitchdo01,1542,0.355,0.788,0.329
Malik Monk,monkma01,777,0.322,0.822,0.397
Marcus Morris,morrima03,2449,0.367,0.66,0.358
Markieff Morris,morrima02,1534,0.345,0.653,0.404
Jamal Murray,murraja01,1518,0.358,0.783,0.408
Shabazz Napier,napiesh01,1000,0.345,0.813,0.375
Victor Oladipo,oladivi01,1862,0.35,0.716,0.338
Kelly Olynyk,olynyke01,1524,0.373,0.709,0.333
Chandler Parsons,parsoch01,1844,0.373,0.611,0.337
Patrick Patterson,pattepa01,1597,0.369,0.734,0.329
Chris Paul,paulch01,3730,0.37,0.838,0.47
Otto Porter,porteot01,1364,0.404,0.751,0.355
Norman Powell,powelno01,891,0.361,0.746,0.314
Taurean Prince,princta02,1305,0.366,0.718,0.376
JJ Redick,redicjj01,4526,0.416,0.912,0.406
Josh Richardson,richajo01,1387,0.363,0.56,0.0
Austin Rivers,riverau01,1757,0.348,0.658,0.365
Rajon Rondo,rondora01,1207,0.316,0.577,0.283
Derrick Rose,rosede01,1541,0.304,0.712,0.337
Terrence Ross,rosste01,2887,0.37,0.764,0.364
Terry Rozier,roziete01,1368,0.371,0.772,0.331
Mike Scott,scottmi01,1210,0.364,0.677,0.286
Iman Shumpert,shumpim01,1447,0.338,0.738,0.305
Marcus Smart,smartma01,1835,0.318,0.751,0.295
Tony Snell,snellto01,1611,0.385,0.821,0.38
Jayson Tatum,tatumja01,1022,0.401,0.849,0.342
Jeff Teague,teaguje01,1886,0.356,0.812,0.421
Garrett Temple,templga01,1626,0.347,0.783,0.278
Isaiah Thomas,thomais02,2781,0.364,0.713,0.325
Anthony Tolliver,tollian01,2306,0.373,0.671,0.333
Karl-Anthony Towns,townska01,1280,0.396,0.813,0.25
PJ Tucker,tuckepj01,1911,0.361,0.711,0.5
