name,slug,player_df_index
Darrell Armstrong,armstda01,13
Kobe Bryant,bryanko01,55
Mario Elie,eliema01,119
Devean George,georgde01,145
Al Harrington,harrial01,164
Toni Kukoč,kukocto01,220
Rashard Lewis,lewisra02,230
Tracy McGrady,mcgratr01,259
Dirk Nowitzki,nowitdi01,291
Scottie Pippen,pippesc01,320
Terry Porter,portete01,323
Peja Stojaković,stojape01,377
Metta World Peace,artesro01,436
Stephen Jackson,jacksst02,470
DeShawn Stevenson,stevede01,513
Hedo Türkoğlu,turkohe01,517
Andrei Kirilenko,kirilan01,569
Vladimir Radmanović,radmavl01,575
Manu Ginóbili,ginobma01,613
Gordan Giriček,giricgo01,614
Marko Jarić,jaricma01,624
Ronald Murray,murraro01,633
Boštjan Nachbar,nachbbo01,634
Mehmet Okur,okurme01,635
Leandro Barbosa,barbole01,664
Boris Diaw,diawbo01,680
LeBron James,jamesle01,701
Travis Outlaw,outlatr01,713
Sasha Pavlović,pavloal01,715
Mickaël Piétrus,pietrmi01,719
Carlos Delfino,delfica01,746
Andrés Nocioni,nocioan01,774
J.R. Smith,smithjr01,784
Sebastian Telfair,telfase01,791
Beno Udrih,udrihbe01,794
Sasha Vujačić,vujacsa01,797
Dorell Wright,wrighdo01,800
José Calderón,caldejo01,813
Monta Ellis,ellismo01,816
Francisco García,garcifr01,824
Gerald Green,greenge01,830
C.J. Miles,milescj01,851
Martell Webster,webstma02,878
J.J. Barea,bareajo01,894
Andrea Bargnani,bargnan01,895
Ersan İlyasova,ilyaser01,923
Thabo Sefolosha,sefolth01,951
Marco Belinelli,belinma01,971
Nicolas Batum,batumni01,1035
Goran Dragić,dragigo01,1043
Rudy Fernández,fernaru01,1044
Danilo Gallinari,gallida01,1045
Marc Gasol,gasolma01,1046
Omri Casspi,casspom01,1101
Serge Ibaka,ibakase01,1126
Jonas Jerebko,jerebjo01,1130
Patty Mills,millspa02,1138
Ish Smith,smithis01,1206
Greivis Vásquez,vasqugr01,1213
E'Twaun Moore,mooreet01,1262
Ricky Rubio,rubiori01,1270
Nikola Vučević,vucevni01,1292
Evan Fournier,fournev01,1315
Mirza Teletović,teletmi01,1367
Giannis Antetokounmpo,antetgi01,1377
Dennis Schröder,schrode01,1441
Bojan Bogdanović,bogdabo02,1461
Joe Ingles,inglejo01,1490
Nikola Mirotić,mirotni01,1507
Nemanja Bjelica,bjeline01,1540
Mario Hezonja,hezonma01,1556
Nikola Jokić,jokicni01,1565
Emmanuel Mudiay,mudiaem01,1579
Kelly Oubre Jr.,oubreke01,1585
Kristaps Porziņģis,porzikr01,1590
D'Angelo Russell,russeda01,1595
Dāvis Bertāns,bertada01,1616
Yogi Ferrell,ferreyo01,1631
Dario Šarić,saricda01,1679
Fred VanVleet,vanvlfr01,1689
Bogdan Bogdanović,bogdabo01,1710
Cedi Osman,osmande01,1782
Luka Dončić,doncilu01,1852
